Symbol,Qty,Price
NIFTYBEES.NS,720,193.79
PRICOLLTD.NS,500,26.76
TECHM.NS,200,448.75
INDOSTAR.NS,1400,258.88
ELGIEQUIP.NS,300,243.95
TCS.NS,100,178.43
TVSSCS.NS,500,135.42
CCAVENUE.NS,7000,16.05
HCLTECH.NS,100,500
KTKBANK.NS,200,182.23
TMCV.NS,300,116.5
TMPV.NS,300,257.5
BAJAJHFL.NS,2300,114.57
TITAN.NS,120,628.78
M&M.NS,100,750.6
MARUTI.NS,30,1386.1
IDFCFIRSTB.NS,6000,40.73
RELIANCE.NS,396,249.14
LMW.NS,25,1809.9
INOXWIND.NS,600,138.18
HAL.NS,30,688.68
POWERGRID.NS,400,40.06
HDFCBANK.NS,100,337.4
IRCTC.NS,50,342.41
SIGACHI.NS,13750,34.58
STLNETWORK.NS,1300,23.77
TATAPOWER.NS,200,80.11
GAIL.NS,1000,90.84
SICAGEN.NS,1200,60.91
TATASTEEL.NS,1000,48.36
VIKRAN.NS,2100,97.4
RBANCO.NS,500,123.55
CDSL.NS,80,654.31
AMARJOTHI.BO,500,140.02
BHARTIARTL.NS,346,365.8
ICICIBANK.NS,355,351
INFY.NS,100,500
KWIL.NS,1000,27.82
GMRAIRPORT.NS,700,87.58
AMARJOTHI.BO,800,140.66
BAJAJFINSV.NS,45,668.51
BAJFINANCE.NS,100,654.64
BRITANNIA.NS,100,1144.38
CHOICEIN.BO,100,500
EDELWEISS.NS,700,114.42
GLOBUSSPR.NS,100,167.05
HDFCBANK.NS,50,500
ICICIBANK.NS,190,508.78
INDHOTEL.NS,350,187.05
INOXWIND.NS,900,143.26
LEMONTREE.NS,1000,85.09
NTPC.NS,800,352.56
NUVAMA.NS,250,1154.88
SHRIRAMFIN.NS,100,533.05
SBIN.NS,200,311.91
SUDARSCHEM.NS,500,139.61
SYRMA.NS,300,288.54
TATACONSUM.NS,200,141.57
MCDOWELL-N.NS,250,778.48
VBL.NS,635,124.35
VATECHWABG.NS,300,363.58
APOLLOHOSP.NS,5,7118.3
CIPLA.NS,35,890.16
CGPOWER.NS,200,411.66
EQUITASBNK.NS,1000,90.54
GAIL.NS,500,157.2
HAL.NS,100,1260.45
INDOAMIN.NS,1200,124.9
INDOSTAR.NS,300,261.34
JIOFIN.NS,500,221.15
JYOTISTRUC.NS,7000,16.84
LANCER.BO,1100,41.56
MOTILALOFS.NS,115,711.4
NMDC.NS,2000,50.49
PATELENG.NS,3500,46.63
PHOENIXLTD.NS,10,1673.84
NAM-INDIA.NS,600,289.19
SAGILITY.NS,1200,42.63
SAMHI.NS,1200,157.19
SARLAPOLY.NS,775,98.66
SIGACHI.NS,12800,39.4
STLTECH.NS,2000,26.21
TATAPOWER.NS,600,245.06
MCDOWELL-N.NS,100,782.78
GOOGL,92,132.5
AMZN,117,150
META,20,215.5
NFLX,92.7,49
MSFT,14.3,314
ASML,4,688
RR.L,3.57,0.69
CRWD,10,120
AAPL,15,180
TSLA,5,170
MELI,1.5,1845
HOOD,43,58
SOFI,150,13.6
MA,4.58,541
BN,43.4,36.3
NEE,20,71.1
SMT.L,1.30,8.8
v,5.44,338
CRSP,32.2,67.2
SPOT,3.18,663
SMGB.L,20,38.2
TEM,20.1,46.7
KTOS,14,71
PLTR,4.9,135
SYM,15,31.4
AIR.PA,3,189
SAFP.PA,2,277
RKLB,5,62
PATH,12.7,10.5
BRWM.L,0.55,860
OSCR,30.5,16
EDIT,101,5.1
GRAB,45,4.48
NWG.L,32.00,112
NWG.L,1.74,314
NWG.L,1.39,490
NWG.L,19.33,186
META,16.8,574
AMZN,10,212.5
SPGI,9.3,491
MELI,1.8,1795
BN,50,38
NBIS,27,21.17
NVDA,11,123
ABBN.SW,27.9,47.62
SIE.DE,7.39,167
CNDX.L,1.2678,1086
MA,4.5,542
DLO,100,13.44
MSFT,6.5,385
TMDX,5,82.98
NU,40,13.9
REMX.L,55,12
NUCG.L,24.6,44.4
JEDG.L,16.8,59.1
ARCI.L,1.0,742
COPM.SW,55,10.1
BAM,20,46
ORCL,5,162
NOW,9,87.4
TEAM,6.99,69.3
WDAY,6,121.13
XYL,6,117.65
ONDS,48.4,9.41
VWRP.L,4,127
QWTM.L,0.06,2321
BMNR,13,48.67
LYV,3,128.25
MSTR,2,183
INRG.L,0.10,778
ZS,0.8,285
DEFT,110,1.8
VWRP.L,8,127
XUSE.L,18,4.8
SGLN.L,.0845,6.348
WSML.L,6.5,9.5
VUAG.L,2.49,97.5
PHSP.L,0.014,4907
VEUR.L,18.86,38.4
VFEM.L,12.4,56
VUSA.L,5.75,95
VJPN.L,8.55,33.4
INRG.L,0.117,778
NUCG.L,24.6,44.4
FLRK,4,66.98
QWTM,9,2.374
QNTG,10,20
SOFI,150,7.51








